id,name,dateCreated,likesCount,playCount,shareCount,commentCount,savesCount,hashtagCount,duration,hashtags,engagement_rate,caption_text,comment_text,cleaned_comment_text
7419684393398062080,kekbajetgerik,2024-09-28,66,4735,3,11,22,9,11,yayaperfumerm10;perfumeviral;yayaempire;perfumetiktok;perfumeyayaempirexmiaazhar;perfumeyayaempire;perfumerm10;yayaperfume;perfumemiazhar,0.02154171066525871,korg try la layer dua bau ni😋 #yayaperfumerm10 #perfumeviral #yayaempire #perfumetiktok #perfumeyayaempirexmiaazhar #perfumeyayaempire #perfumerm10 #yayaperfume #perfumemiazhar ,"Done order🥰;done order iceream edition🥰🥰;Scandalous and MidNight Fantasy... My favourite 🥰🥰;Mantapp👍👍;Done order..mmg suka sgt perfume ni bau best & tahan lama🥰🥰;suka beli minyak yaya empire nie murah tapi wangi mcm minyak wangi yg mhal..suka sngt bau2 dia smua lembut2;Done order 5 botol ! Serious wangi & tahan lama 🥰;done oder 5 btol;done order 3 botol🫶🏻;mmg sdp sgt bau;done oder;𝔻𝕠𝕟𝕖,𝕠𝕣𝕕𝕖𝕣 5😘","Selesai pesanan🥰;selesai pesanan edisi ais krim🥰🥰;Skandal dan Fantasi Tengah Malam... Kegemaran saya 🥰🥰;Mantap👍👍;Selesai pesanan..memang suka sangat minyak wangi ini bau terbaik & tahan lama🥰🥰;suka beli minyak empayar yaya ini murah tapi wangi macam minyak wangi yang mahal..suka sangat bau-bau dia semua lembut-lembut;Selesai pesanan 5 botol! Serius wangi & tahan lama 🥰;selesai pesanan 5 botol;selesai pesanan 3 botol🫶🏻;memang sedap sangat bau;selesai pesanan;Selesai, pesanan 5😘"
7419624391400557568,kekbajetgerik,2024-09-28,39,3130,4,10,5,9,11,yayaperfumerm10;perfumeviral;yayaempire;perfumetiktok;perfumeyayaempirexmiaazhar;perfumeyayaempire;perfumerm10;yayaperfume;perfumemiazhar,0.01853035143769968,Replying to @vie970710 perfume yaya kod apa yg korg tgh pakai skrg? #yayaperfumerm10 #perfumeviral #yayaempire #perfumetiktok #perfumeyayaempirexmiaazhar #perfumeyayaempire #perfumerm10 #yayaperfume #perfumemiazhar ,"Mantapp👍👍;Done beli 4botol ♥️tq sis suggest bau yg best2 😍🥰;Done beli 4 botol seduction , 1 botol jdor…seduction plg recommend😍;Suka sangat bear edition punya bau. Wangi dan sangat attractive. Done repeat lagi 3 botol.;done beli 3 botol...Dino pink🥰🥰;done order 6 botol 🥰;done payment 5 btl..1st time nk try by yaya empire;Sedap;xboleh nak ckp yg mna wangi..sbb semua perfume yaya wangi👍👍👍👍👍;done order 5 botol..repeat Kali ke 3","Mantap 👍👍; Sudah beli 4 botol ♥️ terima kasih kakak kerana mencadangkan bau yang terbaik😍🥰; Sudah beli 4 botol seduction, 1 botol jdora…seduction paling disyorkan😍; Suka sangat edisi bear punya bau. Wangi dan sangat menarik. Sudah ulang beli lagi 3 botol.; Sudah beli 3 botol...Dino pink🥰🥰; Sudah buat pesanan 6 botol 🥰; Sudah buat bayaran 5 botol.. kali pertama nak cuba dari yaya empire; Sedap; Tak boleh nak cakap yang mana wangi..sebab semua minyak wangi yaya wangi👍👍👍👍👍; Sudah buat pesanan 5 botol.. ulang kali ke 3."
7419309089592740864,kekbajetgerik,2024-09-27,30,4076,3,9,3,10,17,paydaysale;yayaperfumerm10;perfumeviral;yayaempire;perfumetiktok;perfumeyayaempirexmiaazhar;perfumeyayaempire;perfumerm10;yayaperfume;perfumemiazhar,0.011040235525024533,korg yg mana belum grab ofer #paydaysale meh cpt. #yayaperfumerm10 #perfumeviral #yayaempire #perfumetiktok #perfumeyayaempirexmiaazhar #perfumeyayaempire #perfumerm10 #yayaperfume #perfumemiazhar ,"DONE PAYMENT LOLIPOP & DINO PURPLE;Wow mantappp👍👍;done grab 5 👍🏼😆;sy dh beli 4 botol;Done order 4 botol 🤭;done beli ye crat 2botol❤️;done 2 botol;Saya beli Twinkle Bubblegum sumpah wangi, dah 4 botol sy beli. Wangi mcm nk telam 🥰;Abg sombong. Tapi dah order 4 botol","Selesai pembayaran lolipop & dino ungu; Wow mantap 👍👍; sudah grab 5 👍🏼😆; saya sudah beli 4 botol; selesai pesan 4 botol 🤭; sudah beli ya krat 2 botol❤️; selesai 2 botol; Saya beli Twinkle Bubblegum sumpah wangi, sudah 4 botol saya beli. Wangi macam nak telan 🥰; Abang sombong. Tapi sudah pesan 4 botol"
7419294608732998656,kekbajetgerik,2024-09-27,6,566,0,2,1,4,20,flashcards;flashcardsforkids;flashcardanak;mainananak,0.015901060070671377,"syok la korg flash card ni,anak2 lagi cpt ingt sebutan..main smbil blajar #flashcards #flashcardsforkids #flashcardanak #mainananak ","Wow menarik, dia ajar sebut bahasa mandrin jgk ke sis?","Wow menarik, dia ajar sebut bahasa mandarin juga ke kakak?"
7419255612242021376,kekbajetgerik,2024-09-27,45,4028,2,6,16,9,11,yayaperfumerm10;perfumeviral;yayaempire;perfumetiktok;perfumeyayaempirexmiaazhar;perfumeyayaempire;perfumerm10;yayaperfume;perfumemiazhar,0.017130089374379345,Replying to @kentangranggup01 korg suka yaya perfume bau apa? komen la sikit #yayaperfumerm10 #perfumeviral #yayaempire #perfumetiktok #perfumeyayaempirexmiaazhar #perfumeyayaempire #perfumerm10 #yayaperfume #perfumemiazhar ,Done order!;ok done payment dunhill red;Mantappp👍👍;Mantapp👍👍;Okayy done payment 5botol😘;❤️,Pesanan selesai!;ok selesai pembayaran dunhill merah;Mantap👍👍;Mantap👍👍;Baiklah selesai pembayaran 5 botol😘;❤️
7418944449234865152,kekbajetgerik,2024-09-26,38,4105,2,6,7,9,17,yayaperfumerm10;perfumeviral;yayaempire;perfumetiktok;perfumeyayaempirexmiaazhar;perfumeyayaempire;perfumerm10;yayaperfume;perfumemiazhar,0.012911084043848964,Replying to @beautiful_2626 korg dh grab ke ofer yaya perfume? #yayaperfumerm10 #perfumeviral #yayaempire #perfumetiktok #perfumeyayaempirexmiaazhar #perfumeyayaempire #perfumerm10 #yayaperfume #perfumemiazhar ,Mantapp rugi klo x beli. Beli semasa live shj dpt harga murah2 guyss👍👍;Done beli 4 trus;done beli 6botol 🤩🤩;done beli 4 botol;done beli 4 botol. Dapat 7.15 jerr;😚,Mantap rugi kalau tidak beli. Beli semasa siaran langsung sahaja dapat harga murah-murah kawan-kawan 👍👍; Sudah beli 4 terus; sudah beli 6 botol 🤩🤩; sudah beli 4 botol; sudah beli 4 botol. Dapat 7.15 sahaja;😚
7418926862493027328,kekbajetgerik,2024-09-26,23,1896,0,3,4,7,19,tisumurah;tisukereta;tisukeretabatik;tisuviraltiktok;tisuviral;tissuemurah;tissuecute,0.015822784810126583,"kalau korg cute,grab ni cpt #tisumurah #tisukereta #tisukeretabatik #tisuviraltiktok #tisuviral #tissuemurah #tissuecute ",cute;Wow. Mantappp👍👍;Comel,Wow. Mantap 👍👍;Comel
7418581345745619968,kekbajetgerik,2024-09-25,85,8104,4,16,8,9,25,yayaperfumerm10;perfumeviral;yayaempire;perfumetiktok;perfumeyayaempirexmiaazhar;perfumeyayaempire;perfumerm10;yayaperfume;perfumemiazhar,0.013943731490621915,Replying to @mr_amadjb69 korg xtry lagi ke perfume yaya?meh try cpt #yayaperfumerm10 #perfumeviral #yayaempire #perfumetiktok #perfumeyayaempirexmiaazhar #perfumeyayaempire #perfumerm10 #yayaperfume #perfumemiazhar ,"Cpt2 grab guyss... memang sangat puas hati guyss👍👍;done order 3botol
sweet vanila, vanila, sweet candy...;DONE BELI..😉😉😉;done beli 3 botol😍;Done payment 5 botol 👍;Done order 4 botol👍;Done repeat 5 botol.... 😁;Done beli;yeay done oder pink dino as suggested..🥰 tqvm;done beli 7 botol;done ✅ oder 2 btol 🥰🥰🥰🥰tq;dh oder 2botol...;done order 5 botol;done oder 4 botol;doneoder10btol;done beli dino ijau botol besr🥰","Cepat-cepat ambil kawan-kawan... memang sangat puas hati kawan-kawan 👍👍; sudah buat pesanan 3 botol vanila manis, vanila, gula-gula manis...; SUDAH BELI.. 😉😉😉; sudah beli 3 botol 😍; sudah buat pembayaran 5 botol 👍; sudah buat pesanan 4 botol 👍; sudah ulang 5 botol... 😁; sudah beli; yeay sudah buat pesanan dino merah jambu seperti disarankan..🥰 terima kasih banyak; sudah beli 7 botol; sudah ✅ buat pesanan 2 botol 🥰🥰🥰🥰 terima kasih; sudah buat pesanan 2 botol...; sudah buat pesanan 5 botol; sudah buat pesanan 4 botol; sudah buat pesanan 10 botol; sudah beli dino hijau botol besar 🥰"
7418513069594266624,kekbajetgerik,2024-09-25,39,2923,3,11,5,9,11,yayaperfumerm10;perfumeviral;yayaempire;perfumetiktok;perfumeyayaempirexmiaazhar;perfumeyayaempire;perfumerm10;yayaperfume;perfumemiazhar,0.019842627437564146,"Replying to @vkxlssk perfume yaya ada bnyk jenis bau tau,korg peminat kod apa? #yayaperfumerm10 #perfumeviral #yayaempire #perfumetiktok #perfumeyayaempirexmiaazhar #perfumeyayaempire #perfumerm10 #yayaperfume #perfumemiazhar ",done grab fairytale🥰;sorry tak sengaja grab 4 bottle😂;Rugi klo x beli guyss. Sangat2 puas hati👍👍;Done order 5 botol🥰;Seller baik hatii;Done Oder Raya Edition😍😍;Done grab 4 botol . Beli online lagi murah 😭;done beli 5 botol;♥️♥️;👍👍👍,Sudah ambil kisah dongeng🥰; maaf tak sengaja ambil 4 botol😂; Rugi kalau tak beli kawan-kawan. Sangat-sangat puas hati👍👍; Sudah pesan 5 botol🥰; Penjual baik hati; Sudah pesan Edisi Raya😍😍; Sudah ambil 4 botol. Beli dalam talian lagi murah 😭; sudah beli 5 botol; ♥️♥️; 👍👍👍
7418179186055072768,kekbajetgerik,2024-09-24,16,1838,5,4,4,5,32,affiliatemarketing;affiliatetiktok;newbieaffiliate;affiliatetiktokshop;tiktokmarketingcalendar,0.015778019586507073,mana geng2 affiliate? meh kumpul..korg kena ada tiktok merketing calendar ni kalau nk idea korg bertambah2 #affiliatemarketing #affiliatetiktok #newbieaffiliate #affiliatetiktokshop #tiktokmarketingcalendar ,"Mantappp👍👍;saya dah beli..harap membantu..;kena beli kalau affiliate..sgt mmbantu;saya da beli , beli lagi","Mantap👍👍;saya sudah beli..harap membantu..;kena beli kalau sekutu..sangat membantu;saya sudah beli, beli lagi"
