label,token,z,delta,total_count,rf_Negative,rf_Neutral,rf_Positive
Negative,loudly_crying_face,15.040756848181339,0.6849797070496613,3798,406.3001605136437,190.63487254944388,130.82651945211188
Negative,crying_face,8.988910035442242,1.792652755781126,106,33.10593900481541,4.760462197602458,2.656111660850997
Negative,tony,8.082332220235228,4.001762866701037,25,21.06741573033708,0.21638464534556628,0.15624186240299984
Negative,kuat,7.544956864839173,1.2233200871982408,209,40.12841091492777,5.842385424330289,7.3954481537419925
Negative,menangis,7.2339523888938375,1.469019998445252,117,28.089887640449437,4.5440775522568915,3.5414822144679965
Negative,pleading_face,7.0454573558296145,0.7054448610756596,768,85.2728731942215,33.10685073787164,27.60272902452997
Negative,bas,6.613592896423606,2.895293233189019,20,12.038523274478331,1.0819232267278314,0.15624186240299984
Negative,aman,6.491901744510426,3.5223318270530415,16,12.038523274478331,0.43276929069113257,0.1041612416019999
Negative,rehat,6.478942580616451,2.601315446498134,23,12.038523274478331,0.21638464534556628,0.5208062080099994
Negative,pusing,6.420787893607383,2.272794636903803,30,13.041733547351525,0.8655385813822651,0.6770480704129993
Negative,tetap,6.381682414810581,1.303102824610936,126,26.08346709470305,3.245769680183494,4.426852768084996
Negative,ayah,6.016840354547808,1.4891350551831186,78,19.06099518459069,1.7310771627645303,2.656111660850997
Negative,suap,5.924632113211529,2.6181909789647877,19,10.032102728731942,1.0819232267278314,0.2083224832039998
Negative,takziah,5.71810455119827,3.2651023824204106,13,9.028892455858747,0.6491539360366988,0.05208062080099995
Negative,abah,5.409203362549548,3.158326916160128,12,8.025682182985554,0.43276929069113257,0.1041612416019999
Negative,air,5.228083951637366,0.8875630523628866,235,32.102728731942214,20.34015666248323,5.676787667308995
Negative,lemak,5.099019477799613,1.882957157722971,30,10.032102728731942,1.7310771627645303,0.6249674496119993
Negative,palsu,5.095880733022653,1.2817392801804655,84,17.0545746388443,3.245769680183494,2.708192281651997
Negative,terkejut,5.057544726649174,1.269039765368536,85,17.0545746388443,3.245769680183494,2.7602729024529973
Negative,sakit,5.0288000373793125,0.8804556706015827,222,30.096308186195827,17.094386982299735,5.885110150512994
Negative,mineral,4.8870617316986955,4.423134146494476,10,9.028892455858747,0.0,0.05208062080099995
Negative,susu,4.730681221130989,1.1634423133649525,94,17.0545746388443,6.275154715021422,2.4998697984479974
Negative,saya,4.724726495049259,0.20804823828047248,5846,332.0626003210273,275.02488423421477,221.03015467944377
Negative,arwah,4.684532753960302,1.787402591462885,29,9.028892455858747,1.0819232267278314,0.7812093120149992
Negative,peguam,4.684356626658258,3.1582251786573803,9,6.019261637239166,0.0,0.15624186240299984
Negative,bahaya,4.6797104359864745,1.6463120874403145,36,10.032102728731942,1.2983078720733976,1.0416124160199989
Negative,facial,4.676026854397717,2.8949901582671522,10,6.019261637239166,0.43276929069113257,0.1041612416019999
Negative,pam,4.635891290740456,1.426635444109646,52,12.038523274478331,4.976846842948024,0.8853705536169991
Negative,spf,4.632228189962908,2.1909702555625703,17,7.022471910112359,1.514692517418964,0.15624186240299984
Negative,eima,4.632228189962908,2.1909702555625703,17,7.022471910112359,0.43276929069113257,0.4166449664079996
Negative,eksim,4.590067105223921,3.522024409370852,8,6.019261637239166,0.0,0.1041612416019999
Negative,pemasaran,4.538122462819706,2.52049919930848,12,6.019261637239166,0.21638464534556628,0.2604031040049997
Negative,lumpur,4.538122462819706,2.52049919930848,12,6.019261637239166,0.21638464534556628,0.2604031040049997
Negative,dia,4.50270939605113,0.2940646787577741,2474,160.51364365971108,92.3962435625568,98.2761314514869
Negative,pindah,4.346006087318091,2.254530482273843,14,6.019261637239166,0.6491539360366988,0.2604031040049997
Negative,cirit,4.278743045836998,2.9916984753217264,8,5.016051364365971,0.43276929069113257,0.05208062080099995
Negative,pulang,4.278743045836998,2.9916984753217264,8,5.016051364365971,0.0,0.15624186240299984
Negative,mending_heart,4.278743045836998,2.9916984753217264,8,5.016051364365971,0.0,0.15624186240299984
Negative,anxious_face_with_sweat,4.278743045836998,2.9916984753217264,8,5.016051364365971,0.43276929069113257,0.05208062080099995
Negative,naik,4.244972563428964,0.7038588114856914,280,31.09951845906902,15.14692517418964,9.32243112337899
Neutral,sparkling_heart,12.232538786155152,1.8575569479666276,172,1.0032102728731942,23.80231098801229,3.176917868860997
Neutral,makan,11.900074962605993,0.8961473692611168,684,33.10593900481541,56.90916172588393,20.20728087078798
Neutral,boleh,9.459980253062854,0.3976771755710349,2586,89.28571428571429,148.00709741636734,94.4221655122129
Neutral,keputusan,9.453345525077417,3.001604597628206,69,3.009630818619583,12.983078720733976,0.3124837248059997
Neutral,nak,9.2721552551236,0.3026373870477954,4482,184.59069020866772,236.50841736270394,166.91838966720482
Neutral,minum,9.11676511992854,1.5224002169528452,134,9.028892455858747,16.012463755571904,2.656111660850997
Neutral,kulit,8.061998565834225,0.48115201594955437,1238,31.09951845906902,75.95101051629376,44.58101140565596
Neutral,semula,7.988824175139827,1.115549105260607,192,8.025682182985554,18.392694854373133,5.155981459298995
Neutral,mana,7.957996894001782,0.40142559118676324,1792,52.1669341894061,102.99909118448954,65.82990469246394
Neutral,tak,7.725290587290109,0.25357361737247386,4536,240.77046548956662,229.58410871164583,168.48080829123484
Neutral,air,7.469560298515236,0.9539622766217644,235,32.102728731942214,20.34015666248323,5.676787667308995
Neutral,kalau,7.222742913927743,0.3898175186464119,1573,80.25682182985554,89.58324317306445,56.19498984427894
Neutral,booster,7.082684498804559,2.252246775096375,45,0.0,7.140693296403687,0.6249674496119993
Neutral,perkataan,7.037869570610366,2.1807885424296867,46,1.0032102728731942,7.140693296403687,0.6249674496119993
Neutral,mahu,7.0089598778576585,1.0172940682022311,180,4.012841091492777,16.22884840091747,5.260142700900995
